question_id,subject,class,subtopic,topic,difficulty_level,question_text,option_A,option_B,option_C,option_D,correct_option,answer_text,difficulty_label
4121,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ AREA OF A PARALLELOGRAM We come across many shapes other than squares and rectangles,8,3,2,4,B,3,Medium
4122,Mathematics,Class 7,General Maths,General Maths - Class 7,2,We find that the length of the rectangle formed is equal to the base of the parallelogram and the breadth of the rectangle is equal to the height of the parallelogram (Fig _____,16,11,12,10,B,11,Medium
4123,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ 2019-20 
      Any side of a parallelogram can be chosen as base of the parallelogram",10,12,16,11,D,11,Medium
4124,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Complete the following table: Parallelogram Base Height Area Perimeter (a) _____ units 3 units 1_____ sq units (b) (c) (d) (e) (f) (g) You will find that all these parallelograms have equal areas but different perimeters,10,4,5,6,C,5,Medium
4125,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"12 2019-20 
      consider the following parallelograms with sides 7 cm and _____ cm (Fig 11",5,4,10,6,A,5,Medium
4126,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ Find the perimeter and area of each of these parallelograms,14,12,18,13,D,13,Medium
4127,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ AREA OF A TRIANGLE A gardener wants to know the cost of covering the whole of a triangular garden with grass,5,4,9,3,B,4,Medium
4128,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"TRY THESE Find the area of following parallelograms: (i) (ii) (iii) In a parallelogram ABCD, AB = _____",7,12,8,6,A,7,Medium
4129,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ cm and the perpendicular from C on AB is 4,1,2,7,3,B,2,Medium
4130,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____-20 
      Draw a scalene triangle on a piece of paper",2020,2024,2019,2018,C,2019,Medium
4131,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Now place both the triangles such that a pair of corresponding sides is joined as shown in Fig _____,10,16,12,11,D,11,Medium
4132,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Area of each triangle = 1 _____ (Area of parallelogram) = 1 _____ (base × height) (Since area of a parallelogram = base × height) = 1 _____ ( ) b h × (or 1 _____ bh , in short) 1",3,7,2,1,C,2,Medium
4133,Mathematics,Class 7,General Maths,General Maths - Class 7,2,15) all the triangles are on the base AB = _____ cm,6,7,5,11,A,6,Medium
4134,Mathematics,Class 7,General Maths,General Maths - Class 7,2,14 D E F A B C TRY THESE Fig _____,12,11,10,16,B,11,Medium
4135,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"15 _____ cm 2019-20 
      Consider the obtuse-angled triangle ABC of base _____ cm (Fig 11",7,11,5,6,D,6,Medium
4136,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE _____ One of the sides and the corresponding height of a parallelogram are 4 cm and 3 cm respectively,7,11,5,6,D,6,Medium
4137,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Find the area of the parallelogram (Fig _____,11,16,10,12,A,11,Medium
4138,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"SOLUTION Given that length of base (b) = 4 cm, height (h) = 3 cm Area of the parallelogram = b × h = 4 cm × 3 cm = _____ cm2 EXAMPLE 7 Find the height ‘x’ if the area of the parallelogram is 24 cm2 and the base is 4 cm",12,17,13,11,A,12,Medium
4139,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"SOLUTION Area of parallelogram = b × h Therefore, 24 = 4 × x (Fig _____",10,16,12,11,D,11,Medium
4140,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"18) or 24 4 = x or x = _____ cm So, the height of the parallelogram is _____ cm",6,5,7,11,A,6,Medium
4141,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE 8 The two sides of the parallelogram ABCD are _____ cm and 4 cm,6,5,7,11,A,6,Medium
4142,Mathematics,Class 7,General Maths,General Maths - Class 7,2,The height corresponding to the base CD is _____ cm (Fig 11,3,4,8,2,A,3,Medium
4143,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"SOLUTION (i) Area of parallelogram = b × h = 6 cm × 3 cm = _____ cm2 (ii) base (b) = 4 cm, height = x (say), Area = _____ cm2 Area of parallelogram = b × x _____ = 4 × x _____ 4 = x Therefore, x = 4",23,18,17,19,B,18,Medium
4144,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ cm Thus, the height corresponding to base AD is 4",6,10,5,4,C,5,Medium
4145,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A D C 4cm _____cm B Fig 11,7,5,11,6,D,6,Medium
4146,Mathematics,Class 7,General Maths,General Maths - Class 7,2,18 A B D C x 4 cm _____ cm 3 cm Fig 11,6,11,5,7,A,6,Medium
4147,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"1_____ 201_____-20 
      EXAMPLE _____ Find the area of the following triangles (Fig 11",9,8,10,14,A,9,Medium
4148,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____0 (ii) SOLUTION (i) Area of triangle = 1 _____ bh = 1 _____ × QR × PS = 1 _____ 4 _____ × × cm cm = 4 cm_____ (ii) Area of triangle = 1 _____ bh = 1 _____ × MN × LO = 1 _____ 3 _____ × × cm cm = 3 cm_____ EXAMPLE 10 Find BC, if the area of the triangle ABC is 36 cm_____ and the height AD is 3 cm (Fig 11",1,3,7,2,D,2,Medium
4149,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"SOLUTION Height = _____ cm, Area = _____6 cm2 Area of the triangle ABC = 1 2 bh or _____6 = 1 2 _____ × × b i",8,2,4,3,D,3,Medium
4150,Mathematics,Class 7,General Maths,General Maths - Class 7,2,", b = 36 2 3 × = _____ cm So, BC = _____ cm EXAMPLE 11 In ∆PQR, PR = 8 cm, QR = 4 cm and PL = 5 cm (Fig 11",29,24,23,25,B,24,Medium
4151,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Find: (i) the area of the ∆PQR (ii) QM SOLUTION (i) QR = base = 4 cm, PL = height = _____ cm Area of the triangle PQR = 1 2 bh = 1 2 4 _____ × × cm cm = 10 cm2 Fig 11",6,10,4,5,D,5,Medium
4152,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"22 S 2019-20 
      (ii) PR = base = _____ cm QM = height =",13,9,8,7,C,8,Medium
4153,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Area = 10 cm_____ Area of triangle = 1 _____ × × b h i,7,1,3,2,D,2,Medium
4154,Mathematics,Class 7,General Maths,General Maths - Class 7,2,", 10 = 1 2 8 × × h h = 10 _____ = 5 2 = 2",3,4,9,5,B,4,Medium
4155,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Find the area of each of the following parallelograms: _____,2,7,3,1,A,2,Medium
4156,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Find the area of each of the following triangles: _____,4,8,3,2,C,3,Medium
4157,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"38 cm2 _____19-_____ 
      4",25,20,19,21,B,20,Medium
4158,Mathematics,Class 7,General Maths,General Maths - Class 7,2,If SR = _____ cm and QM = 7,12,11,13,17,A,12,Medium
4159,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Find: (a) the area of the parallegram PQRS (b) QN, if PS = 8 cm _____",7,6,5,11,B,6,Medium
4160,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"If the area of the parallelogram is 1470 cm2, AB = _____ cm and AD = 49 cm, find the length of BM and DL",40,34,36,35,D,35,Medium
4161,Mathematics,Class 7,General Maths,General Maths - Class 7,2,∆ABC is right angled at A (Fig _____,12,16,11,10,C,11,Medium
4162,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"If AB = 5 cm, BC = _____ cm and AC = 12 cm, Find the area of ∆ABC",13,14,12,18,A,13,Medium
4163,Mathematics,Class 7,General Maths,General Maths - Class 7,2,5 cm and BC = 9 cm (Fig _____,12,11,10,16,B,11,Medium
4164,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ CIRCLES A racing track is semi-circular at both ends (Fig 11,5,10,6,4,A,5,Medium
4165,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ Circumference of a Circle Tanya cut different cards, in curved shape from a cardboard",6,0,2,1,D,1,Medium
4166,Mathematics,Class 7,General Maths,General Maths - Class 7,2,She wants to put lace around Base Height Area of Triangle 15 cm ______ 87 cm2 _____ _____,36,31,32,30,B,31,Medium
4167,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ mm 1256 mm2 22 cm ______ 170,3,5,4,9,C,4,Medium
4168,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"27 _____19-_____ 
      to decorate these cards",25,19,20,21,C,20,Medium
4169,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____) (a) (b) (c) Fig 11,27,29,28,33,C,28,Medium
4170,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Circle Radius Diameter Circumference Ratio of Circumference to Diameter _____,0,2,6,1,D,1,Medium
4171,Mathematics,Class 7,General Maths,General Maths - Class 7,2,0 cm 22 _____ = 3,8,7,12,6,B,7,Medium
4172,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"30 DO THIS _____019-_____0 
      _____",2,7,1,3,A,2,Medium
4173,Mathematics,Class 7,General Maths,General Maths - Class 7,2,0 cm _____ 14 = 3,43,49,44,45,C,44,Medium
4174,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ cm 66 21 = 3,1,5,-1,0,D,0,Medium
4175,Mathematics,Class 7,General Maths,General Maths - Class 7,2,0 cm _____ 42 = 3,131,132,133,137,B,132,Medium
4176,Mathematics,Class 7,General Maths,General Maths - Class 7,2,0 cm 32 _____ = 3,9,10,11,15,B,10,Medium
4177,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ cm 94 3_____ = 3,5,0,-1,1,B,0,Medium
4178,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Its approximate value is 22 7 or _____,2,4,3,8,C,3,Medium
4179,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____, (a) Which square has the larger perimeter",36,30,32,31,D,31,Medium
4180,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"31 2019-20 
      EXAMPLE 12 What is the circumference of a circle of diameter _____ cm (Take π = 3",9,15,11,10,D,10,Medium
4181,Mathematics,Class 7,General Maths,General Maths - Class 7,2,SOLUTION Diameter of the circle (d) = _____ cm Circumference of circle = πd = 3,11,10,9,15,B,10,Medium
4182,Mathematics,Class 7,General Maths,General Maths - Class 7,2,14 × _____ cm = 31,15,10,9,11,B,10,Medium
4183,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"4 cm So, the circumference of the circle of diameter _____ cm is 31",11,9,15,10,D,10,Medium
4184,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE 13 What is the circumference of a circular disc of radius _____ cm,13,14,19,15,B,14,Medium
4185,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Use π =     22 7 SOLUTION Radius of circular disc (r) = _____ cm Circumference of disc = 2πr = 2 22 7 _____ × × cm = 88 cm So, the circumference of the circular disc is 88 cm",19,13,15,14,D,14,Medium
4186,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE _____ The radius of a circular pipe is 10 cm,15,14,19,13,B,14,Medium
4187,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Circumference of the pipe = _____πr = _____ × 3,1,3,2,7,C,2,Medium
4188,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ × 10 cm = 62,19,13,14,15,C,14,Medium
4189,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ cm Therefore, length of the tape needed to wrap once around the pipe is 62",13,8,9,7,B,8,Medium
4190,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE _____ Find the perimeter of the given shape (Fig 11,15,16,20,14,A,15,Medium
4191,Mathematics,Class 7,General Maths,General Maths - Class 7,2,32) (Take π = _____ 7 ),21,22,27,23,B,22,Medium
4192,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Diameter of each semicircle is _____ cm,19,15,13,14,D,14,Medium
4193,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"We know that: Circumference of the circle = πd Circumference of the semicircle = 1 2 πd = 1 22 2 7 × × _____ cm = 22 cm Circumference of each of the semicircles is 22 cm Therefore, perimeter of the given figure = 4 × 22 cm = 88 cm _____ cm _____ cm Fig 11",19,15,13,14,D,14,Medium
4194,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"32 _____-20 
      EXAMPLE 16 Sudhanshu divides a circular disc of radius 7 cm in two equal parts",2024,2020,2018,2019,D,2019,Medium
4195,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(Use π = 22 7 ) SOLUTION To find the perimeter of the semicircular disc (Fig _____,10,16,11,12,C,11,Medium
4196,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"33), we need to find (i) Circumference of semicircular shape (ii) Diameter Given that radius (r) = _____ cm",7,6,12,8,A,7,Medium
4197,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"We know that the circumference of circle = 2πr So, the circumference of the semicircle = 1 2 2 r × π = πr = 22 7 × 7 cm = 22 cm So, the diameter of the circle = 2r = 2 × 7 cm = 14 cm Thus, perimeter of each semicircular disc = 22 cm + 14 cm = 36 cm _____",12,16,10,11,D,11,Medium
4198,Mathematics,Class 7,General Maths,General Maths - Class 7,2,2 Area of Circle Consider the following: A farmer dug a flower bed of radius _____ m at the centre of a field,8,7,12,6,B,7,Medium
4199,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"If _____ kg of fertiliser is required for _____ square metre area, how much fertiliser should he purchase",2,1,0,6,B,1,Medium
4200,Mathematics,Class 7,General Maths,General Maths - Class 7,2,What will be the cost of polishing a circular table-top of radius 2 m at the rate of  _____ per square metre,11,10,15,9,B,10,Medium
4201,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Draw a circle of radius 4 cm on a graph paper (Fig _____,16,10,11,12,C,11,Medium
4202,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Draw a circle and shade one half of the circle [Fig _____,10,16,12,11,D,11,Medium
4203,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Now fold the circle into eighths and cut along the folds [Fig _____,16,11,10,12,B,11,Medium
4204,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ Arrange the separate pieces as shown, in Fig 11",34,39,35,33,A,34,Medium
4205,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"36 _____19-_____ 
      As done above if we divide the circle in 64 sectors, and arrange these sectors",20,25,19,21,A,20,Medium
4206,Mathematics,Class 7,General Maths,General Maths - Class 7,2,It gives nearly a rectangle (Fig _____,16,11,12,10,B,11,Medium
4207,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ What is the breadth of this rectangle,37,42,38,36,A,37,Medium
4208,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"As the whole circle is divided into _____ sectors and on each side we have 32 sectors, the length of the rectangle is the length of the 32 sectors, which is half of the circumference",69,64,65,63,B,64,Medium
4209,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____) Area of the circle = Area of rectangle thus formed = l × b = (Half of circumference) × radius = 1 2 2 r   × π    × r = πr2 So, the area of the circle = πr2 Draw circles of different radii on a graph paper",38,37,42,36,B,37,Medium
4210,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE _____ Find the area of a circle of radius 30 cm (use π = 3,22,16,17,18,C,17,Medium
4211,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"SOLUTION Radius, r = 30 cm Area of the circle = πr_____ = 3",2,3,1,7,A,2,Medium
4212,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ × 302 = 2,826 cm2 EXAMPLE 18 Diameter of a circular garden is 9",13,19,15,14,D,14,Medium
4213,Mathematics,Class 7,General Maths,General Maths - Class 7,2,9 m Area of the circle = πr_____ = __________ 7 4 9 _____ × (,7,2,1,3,B,2,Medium
4214,Mathematics,Class 7,General Maths,General Maths - Class 7,2,) m2 = 22 7 4 _____ 4 _____ × ×,8,14,10,9,D,9,Medium
4215,Mathematics,Class 7,General Maths,General Maths - Class 7,2,46 m2 EXAMPLE _____ The adjoining figure shows two circles with the same centre,19,24,18,20,A,19,Medium
4216,Mathematics,Class 7,General Maths,General Maths - Class 7,2,The radius of the larger circle is 10 cm and the radius of the smaller circle is _____ cm,5,4,9,3,B,4,Medium
4217,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"14) TRY THESE _____019-_____0 
      SOLUTION (a) Radius of the larger circle = 10 cm So, area of the larger circle = πr_____ = 3",3,7,1,2,D,2,Medium
4218,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ × 10 × 10 = 3_____ cm2 (b) Radius of the smaller circle = 4 cm Area of the smaller circle = πr2 = 3,14,19,15,13,A,14,Medium
4219,Mathematics,Class 7,General Maths,General Maths - Class 7,2,14 × 4 × 4 = _____,49,55,50,51,C,50,Medium
4220,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____4 cm_____ (c) Area of the shaded region = (314 – 50,1,2,7,3,B,2,Medium
4221,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Find the circumference of the circles with the following radius: (Take π = 22 _____ ) (a) 14 cm (b) 28 mm (c) 21 cm 2,8,7,12,6,B,7,Medium
4222,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Find the area of the following circles, given that: (a) radius = _____ mm (Take π = 22 7 ) (b) diameter = 49 m (c) radius = 5 cm 3",19,14,13,15,B,14,Medium
4223,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(Take π = 22 _____ ) 4,6,8,12,7,D,7,Medium
4224,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(Take π = 22 7 ) _____,10,4,6,5,D,5,Medium
4225,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"From a circular sheet of radius _____ cm, a circle of radius 3 cm is removed",9,4,3,5,B,4,Medium
4226,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"6 m, if the rate of polishing is  _____/m2",15,14,20,16,A,15,Medium
4227,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Shazli took a wire of length _____ cm and bent it into the shape of a circle,45,49,43,44,D,44,Medium
4228,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(Take π = 22 7 ) _____,15,10,9,11,B,10,Medium
4229,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"From a circular card sheet of radius 14 cm, two circles of radius _____",4,8,3,2,C,3,Medium
4230,Mathematics,Class 7,General Maths,General Maths - Class 7,2,5 cm and a rectangle of length _____ cm and breadth 1cm are removed,8,4,3,2,C,3,Medium
4231,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"(Take π = 22 7 ) _____-20 
      11",2024,2019,2018,2020,B,2019,Medium
4232,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A circle of radius 2 cm is cut out from a square piece of an aluminium sheet of side _____ cm,11,5,7,6,D,6,Medium
4233,Mathematics,Class 7,General Maths,General Maths - Class 7,2,The circumference of a circle is _____,36,31,30,32,B,31,Medium
4234,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A circular flower garden has an area of 314 m_____,3,2,1,7,B,2,Medium
4235,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A sprinkler at the centre of the garden can cover an area that has a radius of _____ m,11,13,12,17,C,12,Medium
4236,Mathematics,Class 7,General Maths,General Maths - Class 7,2,How many times a wheel of radius _____ cm must rotate to go 352 m,29,33,27,28,D,28,Medium
4237,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(Take π = 22 _____ ) 1_____,8,7,12,6,B,7,Medium
4238,Mathematics,Class 7,General Maths,General Maths - Class 7,2,6 CONVERSION OF UNITS We know that _____ cm = _____0 mm,1,2,6,0,A,1,Medium
4239,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Can you tell 1 cm_____ is equal to how many mm_____,2,3,1,7,A,2,Medium
4240,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Draw a square of side 1cm (Fig _____,11,16,10,12,A,11,Medium
4241,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"You find that this square of side _____ cm will be divided into _____00 squares, each of side _____ mm",0,6,2,1,D,1,Medium
4242,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Area of a square of side _____cm = Area of _____00 squares, of each side _____mm",1,2,6,0,A,1,Medium
4243,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Therefore, 1 cm2 = 100 × 1 mm2 or 1 cm2 = 100 mm2 Similarly, 1 m2 = 1 m × 1 m = 100 cm × 100 cm (As 1 m = 100 cm) = _____ cm2 Now can you convert 1 km2 into m2",9999,10000,10001,10005,B,10000,Medium
4244,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A square of side _____ m has an area of 1 hectare,101,105,100,99,C,100,Medium
4245,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"So, 1 hectare = 100 × 100 m2 = 10,_____ m2 When we convert a unit of area to a smaller unit, the resulting number of units will be bigger",1,-1,5,000,D,000,Medium
4246,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"For example, _____0 cm2 = _____0 × _____ mm2 = _____000 mm2 66m Fig 11",101,105,99,100,D,100,Medium
4247,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____ 2019-20 
      But when we convert a unit of area to a larger unit, the number of larger units will be smaller",37,38,39,43,B,38,Medium
4248,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"For example, 1_______________ cm2 = 1_______________ 1____________________ m2 = _____",0,5,1,-1,A,0,Medium
4249,Mathematics,Class 7,General Maths,General Maths - Class 7,2,1 m_____ Convert the following: (i) 50 cm_____ in mm_____ (ii) _____ ha in m_____ (iii) 10 m_____ in cm_____ (iv) 1000 cm_____ in m_____ 11,7,1,2,3,C,2,Medium
4250,Mathematics,Class 7,General Maths,General Maths - Class 7,2,EXAMPLE _____ A rectangular park is 45 m long and 30 m wide,20,19,21,25,A,20,Medium
4251,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"We have, PQ = (45 + _____",1,7,3,2,D,2,Medium
4252,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____) m = _____0 m PS = (30 + 2,4,5,6,10,B,5,Medium
4253,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____) m = 3_____ m Area of the rectangle ABCD = l× b = 4_____ × 30 m2 = 13_____0 m2 Area of the rectangle PQRS = l× b = _____0 × 3_____ m2 = 17_____0 m2 Area of the path = Area of the rectangle PQRS − Area of the rectangle ABCD = (17_____0 − 13_____0) m2 = 400 m2 EXAMPLE 21 A path _____ m wide runs along inside a square park of side 100 m,5,4,10,6,A,5,Medium
4254,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Also find the cost of cementing it at the rate of  _____ per 10 m2,249,251,250,255,C,250,Medium
4255,Mathematics,Class 7,General Maths,General Maths - Class 7,2,SOLUTION Let ABCD be the square park of side _____ m,105,99,101,100,D,100,Medium
4256,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"PQ = 100 – (5 + 5) = 90 m Area of square ABCD = (side)_____ = (100)_____ m_____ = 10000 m_____ Area of square PQRS = (side)_____ = (90)_____ m_____ = 8100 m_____ Therefore, area of the path = (10000 − 8100) m_____ = 1900 m_____ Cost of cementing 10 m_____ =  _____50 TRY THESE P Q S R A B 45 m 30 m D C _____",2,7,1,3,A,2,Medium
4257,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"5 m A B D C P Q S R 100 2019-20 
      Therefore, cost of cementing 1 m2 =  250 10 So, cost of cementing _____ m2 =  250 10 _____ × =  47,500 EXAMPLE 22 Two cross roads, each of width 5 m, run at right angles through the centre of a rectangular park of length 70 m and breadth 45 m and parallel to its sides",1899,1905,1900,1901,C,1900,Medium
4258,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Also find the cost of constructing the roads at the rate of  105 per m_____,1,2,7,3,B,2,Medium
4259,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Now, PQ = 5 m and PS = _____ m EH = 5 m and EF = 70 m KL = 5 m and KN = 5 m Area of the path = Area of the rectangle PQRS + area of the rectangle EFGH – Area of the square KLMN = PS × PQ + EF × EH – KL × KN = (_____ × 5 + 70 × 5 − 5 × 5) m2 = (225 + 350 − 25) m2 = 550 m2 Cost of constructing the path =  105 × 550 =  57,750 EXERCISE 11",44,50,45,46,C,45,Medium
4260,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A garden is 90 m long and _____ m broad,75,80,76,74,A,75,Medium
4261,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A _____ m wide path runs outside and around a rectangular park of length 125 m and breadth 65 m,2,8,4,3,D,3,Medium
4262,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A picture is painted on a cardboard 8 cm long and 5 cm wide such that there is a margin of _____,2,6,0,1,D,1,Medium
4263,Mathematics,Class 7,General Maths,General Maths - Class 7,2,_____ m is constructed all along outside a room which is 5,25,30,26,24,A,25,Medium
4264,Mathematics,Class 7,General Maths,General Maths - Class 7,2,5 m long and _____ m wide,9,5,3,4,D,4,Medium
4265,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(ii) the cost of cementing the floor of the verandah at the rate of  _____00 per m_____,7,1,3,2,D,2,Medium
4266,Mathematics,Class 7,General Maths,General Maths - Class 7,2,A path 1 m wide is built along the border and inside a square garden of side _____ m,31,35,29,30,D,30,Medium
4267,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Find: (i) the area of the path (ii) the cost of planting grass in the remaining portion of the garden at the rate of  40 per m_____,1,3,2,7,C,2,Medium
4268,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"_____-20 
      6",2018,2019,2020,2024,B,2019,Medium
4269,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Two cross roads, each of width 10 m, cut at right angles through the centre of a rectangular park of length 700 m and breadth _____ m and parallel to its sides",299,300,301,305,B,300,Medium
4270,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Through a rectangular field of length 90 m and breadth _____ m, two roads are constructed which are parallel to the sides and cut each other at right angles through the centre of the fields",61,60,65,59,B,60,Medium
4271,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"If the width of each road is _____ m, find (i) the area covered by the roads",3,4,2,8,A,3,Medium
4272,Mathematics,Class 7,General Maths,General Maths - Class 7,2,(ii) the cost of constructing the roads at the rate of  _____ per m2,115,109,111,110,D,110,Medium
4273,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Then she wrapped it around a square box of side _____ cm (also shown),4,9,3,5,A,4,Medium
4274,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"In the following figures, find the area of the shaded portions: _____",10,11,16,12,B,11,Medium
4275,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Here, AC = 22 cm, BM = 3 cm, DN = 3 cm, and BM ⊥ AC, DN ⊥ AC (i) (ii) _____-20 
      WHAT HAVE WE DISCUSSED",2024,2019,2020,2018,B,2019,Medium
4276,Mathematics,Class 7,General Maths,General Maths - Class 7,2,They are: (a) Perimeter of a square = _____ × side (b) Perimeter of a rectangle = 2 × (length + breadth) (c) Area of a square = side × side (d) Area of a rectangle = length × breadth 3,9,4,5,3,B,4,Medium
4277,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Area of a parallelogram = base × height _____,5,3,9,4,D,4,Medium
4278,Mathematics,Class 7,General Maths,General Maths - Class 7,2,Area of a triangle = _____ 2 (area of the parallelogram generated from it) = _____ 2 × base × height 5,0,1,2,6,B,1,Medium
4279,Mathematics,Class 7,General Maths,General Maths - Class 7,2,"Circumference of a circle = πd, where d is the diameter of a circle and 22  _____ = or 3",6,12,7,8,C,7,Medium
